,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
1865,"Meta, Inc.",META,2015-07-08,85.65,24351990,6.29,6.75,5.445
1866,"Meta, Inc.",META,2015-07-07,87.22,33023960,7.8,7.85,5.231
1867,"Meta, Inc.",META,2015-07-06,87.55,24592870,6.49,8.1846,6.39
1868,"Meta, Inc.",META,2015-07-02,87.285,16875000,7.4,7.44,6.3401
1869,"Meta, Inc.",META,2015-07-01,86.91,25198260,6.77,7.95,6.49
1870,"Meta, Inc.",META,2015-06-30,85.765,23195430,6.6,6.7,5.57
1871,"Meta, Inc.",META,2015-06-29,85.8,35869530,6.61,7.5,5.73
1872,"Meta, Inc.",META,2015-06-26,88.01,38185770,8.12,8.34,6.8283
1873,"Meta, Inc.",META,2015-06-25,87.98,27245480,9.26,9.4,7.835
1874,"Meta, Inc.",META,2015-06-24,88.86,41337040,7.66,9.25,7.45
1875,"Meta, Inc.",META,2015-06-23,87.88,50336830,4.96,7.97,4.76
1876,"Meta, Inc.",META,2015-06-22,84.74,29076040,3.41,4.97,3.31
1877,"Meta, Inc.",META,2015-06-19,82.51,23337800,2.83,2.98,2.12
1878,"Meta, Inc.",META,2015-06-18,82.905,26726860,1.64,3.19,1.57
1879,"Meta, Inc.",META,2015-06-17,81.79,18326140,1.76,2.22,1.34
1880,"Meta, Inc.",META,2015-06-16,81.06,13673040,0.82,1.51,0.45
1881,"Meta, Inc.",META,2015-06-15,80.71,18782870,0.55,0.93,0.07
1882,"Meta, Inc.",META,2015-06-12,81.53,11403090,1.37,2.09,1.2
1883,"Meta, Inc.",META,2015-06-11,81.83,18619240,2.31,2.9,1.36
1884,"Meta, Inc.",META,2015-06-10,82.16,21485920,0.83,2.6,0.81
1885,"Meta, Inc.",META,2015-06-09,80.67,16443310,0.6,1.19,9.32
1886,"Meta, Inc.",META,2015-06-08,80.67,16882270,1.82,2.0,0.13
1887,"Meta, Inc.",META,2015-06-05,82.14,16087280,1.87,2.46,1.51
1888,"Meta, Inc.",META,2015-06-04,82.05,20825910,2.14,2.95,1.51
1889,"Meta, Inc.",META,2015-06-03,82.44,31633300,1.35,2.53,1.25
1890,"Meta, Inc.",META,2015-06-02,80.445,18900690,9.76,1.35,9.56
1891,"Meta, Inc.",META,2015-06-01,80.29,18106110,9.3,0.38,8.66
1892,"Meta, Inc.",META,2015-05-29,79.19,16111570,9.95,0.07,8.88
1893,"Meta, Inc.",META,2015-05-28,80.145,11974610,0.25,1.0745,0.0
1894,"Meta, Inc.",META,2015-05-27,80.55,14132160,9.6,0.66,9.43
1895,"Meta, Inc.",META,2015-05-26,79.335,16271510,0.43,0.6,9.08
1896,"Meta, Inc.",META,2015-05-22,80.54,19547070,0.35,1.31,0.25
1897,"Meta, Inc.",META,2015-05-21,80.48,13376150,0.19,0.92,0.08
1898,"Meta, Inc.",META,2015-05-20,80.55,23024330,0.47,1.1,9.46
1899,"Meta, Inc.",META,2015-05-19,80.63,17943450,1.25,1.69,0.55
1900,"Meta, Inc.",META,2015-05-18,80.88,21560230,0.33,1.38,0.23
1901,"Meta, Inc.",META,2015-05-15,80.42,27029540,1.41,1.52,0.18
1902,"Meta, Inc.",META,2015-05-14,81.37,49376110,8.94,1.845,8.67
1903,"Meta, Inc.",META,2015-05-13,78.44,21485710,7.72,8.53,7.65
1904,"Meta, Inc.",META,2015-05-12,77.46,21249920,7.87,7.89,6.79
1905,"Meta, Inc.",META,2015-05-11,78.01,18826100,8.48,9.03,7.93
1906,"Meta, Inc.",META,2015-05-08,78.51,19921440,9.1,9.23,8.03
1907,"Meta, Inc.",META,2015-05-07,78.425,19727740,8.0,8.94,7.56
1908,"Meta, Inc.",META,2015-05-06,78.1,28610160,7.97,8.81,7.05
1909,"Meta, Inc.",META,2015-05-05,77.56,22243130,8.55,8.8,7.22
1910,"Meta, Inc.",META,2015-05-04,78.81,14664320,9.33,9.69,8.6301
1911,"Meta, Inc.",META,2015-05-01,78.99,22811310,9.24,9.76,8.11
1912,"Meta, Inc.",META,2015-04-30,78.77,28924470,0.01,0.96,8.32
1913,"Meta, Inc.",META,2015-04-29,80.465,26400340,0.01,1.39,9.52
1914,"Meta, Inc.",META,2015-04-28,80.68,23724520,1.83,1.9,0.23
1915,"Meta, Inc.",META,2015-04-27,81.91,25401050,1.87,2.93,1.63
1916,"Meta, Inc.",META,2015-04-24,81.53,29617390,2.77,2.94,1.48
1917,"Meta, Inc.",META,2015-04-23,82.41,73607220,4.1,5.59,2.41
1918,"Meta, Inc.",META,2015-04-22,84.63,43286780,4.32,4.74,3.65
1919,"Meta, Inc.",META,2015-04-21,83.62,26824310,4.0,4.49,3.54
1920,"Meta, Inc.",META,2015-04-20,83.09,28700450,1.54,3.15,1.24
1921,"Meta, Inc.",META,2015-04-17,80.775,24156000,1.48,2.11,0.37
1922,"Meta, Inc.",META,2015-04-16,82.31,13678800,2.47,3.07,2.15
1923,"Meta, Inc.",META,2015-04-15,82.705,22358670,3.55,3.66,2.27
1924,"Meta, Inc.",META,2015-04-14,83.515,19612620,3.17,3.69,2.44
1925,"Meta, Inc.",META,2015-04-13,83.01,26868830,1.93,3.94,1.92
1926,"Meta, Inc.",META,2015-04-10,82.04,12501090,2.21,2.61,1.91
1927,"Meta, Inc.",META,2015-04-09,82.17,15902970,2.5,2.8,1.71
1928,"Meta, Inc.",META,2015-04-08,82.275,18936170,2.63,3.1,1.84
1929,"Meta, Inc.",META,2015-04-07,82.32,17442950,2.65,3.42,2.22
1930,"Meta, Inc.",META,2015-04-06,82.44,19008980,0.8,2.81,0.8
1931,"Meta, Inc.",META,2015-04-02,81.555,19631440,2.25,2.56,1.44
1932,"Meta, Inc.",META,2015-04-01,81.665,22028080,2.5,2.72,0.87
1933,"Meta, Inc.",META,2015-03-31,82.215,19705200,2.9,3.5,2.21
1934,"Meta, Inc.",META,2015-03-30,83.195,24506180,3.81,4.34,2.41
1935,"Meta, Inc.",META,2015-03-27,83.3,18313110,3.38,3.95,2.88
1936,"Meta, Inc.",META,2015-03-26,83.01,32754510,2.72,3.77,2.14
1937,"Meta, Inc.",META,2015-03-25,82.92,37348640,5.5,5.52,2.92
1938,"Meta, Inc.",META,2015-03-24,85.31,32507390,4.71,6.0699,4.52
1939,"Meta, Inc.",META,2015-03-23,84.43,27291310,3.92,4.96,3.3
1940,"Meta, Inc.",META,2015-03-20,83.8,44405260,3.39,4.6,3.07
1941,"Meta, Inc.",META,2015-03-19,82.75,42047570,1.12,3.0,1.0
1942,"Meta, Inc.",META,2015-03-18,80.91,36732660,9.25,1.24,9.17
1943,"Meta, Inc.",META,2015-03-17,79.365,22105760,8.36,9.78,8.34
1944,"Meta, Inc.",META,2015-03-16,78.07,19289450,7.96,8.12,7.36
1945,"Meta, Inc.",META,2015-03-13,78.05,18481750,8.6,9.38,7.68
1946,"Meta, Inc.",META,2015-03-12,78.93,16069270,8.1,9.05,7.91
1947,"Meta, Inc.",META,2015-03-11,77.57,20141490,7.8,8.43,7.26
1948,"Meta, Inc.",META,2015-03-10,77.55,22965310,8.5,9.26,7.55
1949,"Meta, Inc.",META,2015-03-09,79.44,18908230,9.68,9.91,8.63
1950,"Meta, Inc.",META,2015-03-06,80.005,24457940,0.9,1.33,9.83
1951,"Meta, Inc.",META,2015-03-05,81.21,27792840,1.23,1.99,1.05
1952,"Meta, Inc.",META,2015-03-04,80.895,28057010,9.3,1.15,8.85
1953,"Meta, Inc.",META,2015-03-03,79.6,18602170,9.61,9.7,8.52
1954,"Meta, Inc.",META,2015-03-02,79.75,21645890,9.0,9.855,8.52
1955,"Meta, Inc.",META,2015-02-27,78.97,30705140,0.68,1.23,8.62
1956,"Meta, Inc.",META,2015-02-26,80.41,30980750,9.88,1.37,9.72
1957,"Meta, Inc.",META,2015-02-25,79.56,25546020,8.5,0.2,8.5
1958,"Meta, Inc.",META,2015-02-24,78.45,18871220,8.5,9.48,8.1
1959,"Meta, Inc.",META,2015-02-23,78.84,24105020,9.96,0.19,8.38
1960,"Meta, Inc.",META,2015-02-20,79.895,36904680,9.55,0.34,9.2
1961,"Meta, Inc.",META,2015-02-19,79.42,45778750,6.986,9.84,6.95
1962,"Meta, Inc.",META,2015-02-18,76.71,22410540,5.94,6.9,5.45
1963,"Meta, Inc.",META,2015-02-17,75.6,25243920,5.3,6.91,5.08
1964,"Meta, Inc.",META,2015-02-13,75.74,18487260,6.46,6.48,5.5
1965,"Meta, Inc.",META,2015-02-12,76.23,17212100,6.86,6.87,5.89
1966,"Meta, Inc.",META,2015-02-11,76.51,20817690,5.09,6.75,5.03
1967,"Meta, Inc.",META,2015-02-10,75.19,15783750,4.85,5.34,4.5
1968,"Meta, Inc.",META,2015-02-09,74.44,16182700,4.05,4.83,3.45
1969,"Meta, Inc.",META,2015-02-06,74.47,21131450,5.68,5.7,4.25
1970,"Meta, Inc.",META,2015-02-05,75.615,15002820,5.71,5.98,5.21
1971,"Meta, Inc.",META,2015-02-04,75.63,20246640,5.09,6.35,5.01
1972,"Meta, Inc.",META,2015-02-03,75.4,26921640,5.19,5.58,3.86
1973,"Meta, Inc.",META,2015-02-02,74.99,41901530,6.11,6.14,3.75
1974,"Meta, Inc.",META,2015-01-30,75.91,42540890,8.0,8.16,5.75
1975,"Meta, Inc.",META,2015-01-29,78.0,60670160,6.85,8.02,4.21
1976,"Meta, Inc.",META,2015-01-28,76.24,51281680,6.9,7.638,6.0
1977,"Meta, Inc.",META,2015-01-27,75.78,19982990,6.71,6.88,5.63
1978,"Meta, Inc.",META,2015-01-26,77.495,19229120,7.98,8.47,7.29
1979,"Meta, Inc.",META,2015-01-23,77.83,16711610,7.65,8.19,7.04
1980,"Meta, Inc.",META,2015-01-22,77.65,19491720,7.17,7.75,6.68
1981,"Meta, Inc.",META,2015-01-21,76.74,25079200,6.16,7.3,5.85
1982,"Meta, Inc.",META,2015-01-20,76.24,22765930,5.72,6.31,4.82
1983,"Meta, Inc.",META,2015-01-16,75.18,21744680,4.04,5.32,3.84
1984,"Meta, Inc.",META,2015-01-15,74.05,34058150,6.4,6.57,3.54
1985,"Meta, Inc.",META,2015-01-14,76.28,25831690,6.42,7.2,6.0291
1986,"Meta, Inc.",META,2015-01-13,76.45,25149270,7.23,8.08,5.85
1987,"Meta, Inc.",META,2015-01-12,76.72,19150390,7.84,8.0,6.21
1988,"Meta, Inc.",META,2015-01-09,77.74,21146060,8.2,8.62,7.2
1989,"Meta, Inc.",META,2015-01-08,78.175,23931830,6.74,8.23,6.08
1990,"Meta, Inc.",META,2015-01-07,76.15,22015250,6.76,7.36,5.82
1991,"Meta, Inc.",META,2015-01-06,76.15,27365180,7.23,7.59,5.365
1992,"Meta, Inc.",META,2015-01-05,77.19,26392340,7.98,9.2455,6.86
1993,"Meta, Inc.",META,2015-01-02,78.45,18141830,8.58,8.93,7.7
1994,"Meta, Inc.",META,2014-12-31,78.02,20004710,9.54,9.8,7.86
1995,"Meta, Inc.",META,2014-12-30,79.22,14354170,9.85,0.59,9.1
1996,"Meta, Inc.",META,2014-12-29,80.02,14101570,0.49,0.96,9.71
1997,"Meta, Inc.",META,2014-12-26,80.775,10632810,1.02,1.28,0.51
1998,"Meta, Inc.",META,2014-12-24,80.77,7685481,1.03,1.43,0.75
1999,"Meta, Inc.",META,2014-12-23,80.61,19846990,2.02,2.17,0.4
2000,"Meta, Inc.",META,2014-12-22,81.45,31361040,0.08,1.89,0.0
2001,"Meta, Inc.",META,2014-12-19,79.88,43274930,8.75,0.0,8.33
2002,"Meta, Inc.",META,2014-12-18,78.4,34147520,6.89,8.4,6.51
2003,"Meta, Inc.",META,2014-12-17,76.11,29142380,5.01,6.41,4.9
2004,"Meta, Inc.",META,2014-12-16,74.69,31466710,6.19,7.39,4.59
